year,commodity,price
2020,Beans (dry),103.429375
2020,Kale,6.0
2020,Maize,52.0
2020,Maize (white),54.21215277777778
2020,Maize flour,62.0
2020,Oil (vegetable),171.20666666666668
2020,Rice,104.0
2020,Tomatoes,58.0
2021,Beans (dry),106.18208713093871
2021,Kale,15.156473597222224
2021,Maize,48.438178729841844
2021,Maize (white),53.97434583333333
2021,Maize flour,62.012618137182834
2021,"Milk (cow, fresh)",74.08333333333334
2021,Oil (vegetable),212.3526771088926
2021,Rice,99.0544314774498
2022,Beans (dry),120.94231929751132
2022,Maize,49.64614656249999
2022,Maize flour,84.11227556108597
2022,"Milk (cow, fresh)",125.0
2022,Oil (vegetable),291.0632910452489
2022,Rice,115.42900569909503
2023,Beans,179.76666666666668
2023,Beans (dry),171.5820685715308
2023,Kale,99.16891891891892
2023,Maize,73.76191690465068
2023,"Maize (white, dry)",93.52197802197803
2023,Maize flour,109.57839526964425
2023,Maize flour (white),109.33009708737865
2023,Oil (vegetable),274.562663530013
2023,"Oil (vegetable, fortified)",306.58653846153845
2023,Rice,141.3740811848554
2024,Beans,156.20258351725656
2024,Beans (dry),155.29954800223064
2024,Kale,85.42913763066201
2024,Maize,60.575202939898986
2024,"Maize (white, dry)",82.32693155609822
2024,Maize flour,88.36414401978114
2024,Maize flour (white),93.7975509817589
2024,"Milk (cow, fresh)",194.57516
2024,Oil (vegetable),269.2589339733586
2024,"Oil (vegetable, fortified)",290.33620156695156
2024,Rice,141.27349252872474
2025,Beans,146.2832396361808
2025,Beans (dry),132.17054271252104
2025,Kale,84.70961718020541
2025,Maize,62.73951802112794
2025,"Maize (white, dry)",84.29176825728551
2025,Maize flour,86.6338750999579
2025,Maize flour (white),97.05490805490804
2025,"Milk (cow, fresh)",150.26854277777778
2025,Oil (vegetable),284.2354675446128
2025,"Oil (vegetable, fortified)",283.8468013468013
2025,Rice,127.48225476670875
2026,Beans (dry),114.04669333333334
2026,Maize,62.23534666666667
2026,Maize flour,84.54945666666666
2026,Oil (vegetable),262.82800166666664
2026,Rice,121.47168500000001
